UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
CE;23;11207;Potengi;2701;561;0;57;3;214;25;0;1;10;1693;73;14;0;33;3;0;0;0;0;2;12
CE;23;11231;Potiretama;1990;349;0;58;1;91;13;0;1;6;1363;93;8;0;7;0;0;0;0;0;0;0
CE;23;11264;Quiterianópolis;8276;1123;0;102;4;579;45;0;1;20;5275;1060;11;0;27;5;0;1;0;0;1;22
CE;23;11306;Quixadá;36847;10153;0;877;51;1856;449;0;114;82;17540;4759;185;0;430;107;2;1;0;0;18;223
CE;23;11355;Quixelô;6555;1013;0;97;5;410;49;0;15;24;4601;253;55;0;12;8;0;0;0;0;1;12
CE;23;11405;Quixeramobim;31599;7350;0;717;35;1583;278;0;65;65;17882;2910;221;0;266;71;0;1;0;0;7;148
CE;23;11504;Quixeré;11324;2431;0;362;58;486;72;0;25;17;5658;1883;56;0;133;121;0;1;0;0;1;20
CE;23;11603;Redenção;9209;2934;0;277;8;510;107;0;12;58;4686;330;83;0;118;39;0;0;0;0;2;45
CE;23;11702;Reriutaba;6880;1532;0;139;5;369;30;0;39;66;3918;617;62;0;59;10;0;1;0;0;8;25
CE;23;11801;Russas;42485;9732;0;1240;285;1953;368;0;214;78;21047;6228;231;0;502;338;1;3;0;1;14;250
CE;23;11900;Saboeiro;4277;656;0;56;1;353;32;0;1;10;2845;265;12;0;34;1;0;1;0;0;1;9
CE;23;11959;Salitre;3600;946;0;215;2;301;34;0;0;23;1887;104;52;0;26;3;0;0;0;0;0;7
CE;23;12205;Santa Quitéria;16413;3598;0;335;12;911;125;0;23;80;9388;1531;62;0;237;19;0;1;0;0;5;86
CE;23;12007;Santana do Acaraú;8428;1626;0;188;3;448;57;0;7;79;4824;1009;85;0;46;8;0;0;0;0;4;44
CE;23;12106;Santana do Cariri;4218;1050;0;103;0;379;47;0;2;38;2397;135;28;0;28;0;0;0;0;0;0;11
CE;23;12304;São Benedito;21964;6143;0;612;44;1591;278;0;25;145;9535;3119;97;0;116;72;0;2;0;0;12;173
CE;23;12403;São Gonçalo do Amarante;19265;7682;0;498;125;1091;351;1;68;112;7621;660;208;0;446;197;1;1;0;18;10;175
CE;23;12502;São João do Jaguaribe;3722;745;0;42;24;166;16;0;4;8;2034;619;10;0;31;20;0;0;0;0;0;3
